,ticker,time,orderType,investorType,volume,averagePrice,orderCount,prevPriceChange
309,FPT,14:05:11,Buy Up,WOLF,1800,130000.0,4,0.0
310,FPT,14:05:09,Buy Up,SHEEP,600,130000.0,2,0.0
311,FPT,14:05:07,Buy Up,WOLF,7000,130000.0,1,0.0
312,FPT,14:05:00,Buy Up,SHEEP,100,130000.0,1,0.0
313,FPT,14:04:55,Buy Up,SHEEP,100,130000.0,1,0.0
314,FPT,14:04:49,Buy Up,SHEEP,200,130000.0,1,0.0
315,FPT,14:04:33,Buy Up,SHEEP,100,130000.0,1,100.0
316,FPT,14:04:28,Buy Up,SHEEP,100,129900.0,1,0.0
317,FPT,14:04:27,Buy Up,SHEEP,1000,129900.0,1,0.0
318,FPT,14:04:24,Buy Up,SHEEP,100,129900.0,1,0.0
319,FPT,14:04:23,Buy Up,SHEEP,1000,129900.0,1,0.0
320,FPT,14:04:20,Buy Up,SHEEP,100,129900.0,1,0.0
321,FPT,14:04:18,Buy Up,SHEEP,200,129900.0,2,0.0
322,FPT,14:04:16,Buy Up,SHEEP,100,129900.0,1,0.0
323,FPT,14:04:08,Buy Up,SHEEP,300,129900.0,1,0.0
324,FPT,14:04:02,Sell Down,SHARK,21300,129900.0,15,0.0
325,FPT,14:03:56,Sell Down,SHEEP,200,129900.0,1,0.0
326,FPT,14:03:43,Sell Down,SHARK,20000,129900.0,4,0.0
327,FPT,14:03:33,Sell Down,SHEEP,200,129900.0,1,0.0
328,FPT,14:03:30,Sell Down,SHEEP,200,129900.0,1,-100.0
329,FPT,14:03:07,Buy Up,SHEEP,200,130000.0,1,0.0
330,FPT,14:03:04,Buy Up,SHEEP,100,130000.0,1,0.0
331,FPT,14:03:01,Buy Up,SHEEP,800,130000.0,1,0.0
332,FPT,14:02:57,Buy Up,SHEEP,500,130000.0,1,0.0
333,FPT,14:02:51,Buy Up,SHEEP,1000,130000.0,1,0.0
334,FPT,14:02:44,Buy Up,WOLF,5000,130000.0,1,0.0
335,FPT,14:02:31,Sell Down,WOLF,3800,130000.0,3,0.0
336,FPT,14:02:12,Buy Up,WOLF,1700,130000.0,5,0.0
337,FPT,14:02:04,Buy Up,SHEEP,900,130000.0,4,0.0
338,FPT,14:01:54,Buy Up,WOLF,3000,130000.0,3,0.0
339,FPT,14:01:48,Buy Up,WOLF,3000,130000.0,2,100.0
340,FPT,14:01:33,Buy Up,WOLF,5400,129900.0,5,0.0
341,FPT,14:01:32,Buy Up,SHEEP,1000,129900.0,1,0.0
342,FPT,14:01:26,Buy Up,SHEEP,600,129900.0,2,0.0
343,FPT,14:01:23,Buy Up,WOLF,2400,129900.0,4,0.0
344,FPT,14:01:11,Buy Up,SHEEP,800,129900.0,1,0.0
345,FPT,14:01:05,Buy Up,SHEEP,1000,129900.0,1,0.0
346,FPT,14:00:53,Buy Up,WOLF,2900,129900.0,4,0.0
347,FPT,14:00:37,Buy Up,SHEEP,300,129900.0,1,0.0
348,FPT,14:00:19,Buy Up,SHEEP,100,129900.0,1,0.0
349,FPT,14:00:18,Buy Up,SHEEP,700,129900.0,1,0.0
350,FPT,14:00:08,Buy Up,SHEEP,100,129900.0,1,100.0
351,FPT,14:00:02,Sell Down,SHEEP,200,129800.0,1,-100.0
352,FPT,14:00:02,Buy Up,SHEEP,100,129900.0,1,0.0
353,FPT,14:00:01,Buy Up,SHEEP,200,129900.0,1,100.0
354,FPT,13:59:53,Sell Down,SHEEP,100,129800.0,1,-100.0
355,FPT,13:59:52,Buy Up,SHEEP,200,129900.0,1,0.0
356,FPT,13:59:33,Buy Up,SHEEP,100,129900.0,1,0.0
357,FPT,13:59:26,Buy Up,SHEEP,800,129900.0,1,100.0
358,FPT,13:59:23,Sell Down,SHEEP,100,129800.0,1,-100.0
359,FPT,13:59:16,Buy Up,SHEEP,400,129900.0,2,100.0
360,FPT,13:59:15,Sell Down,SHEEP,1000,129800.0,2,0.0
